,ticker,company,industry,location,dividend,dividend_prc,latitude,longitude
0,MMM,3M,Industrials,"Saint Paul, Minnesota",4.36,3.38,44.9537029,-93.0899578
1,AOS,A. O. Smith,Industrials,"Milwaukee, Wisconsin",0.91,2.62,43.0389025,-87.9064736
2,ABT,Abbott,Health Care,"North Chicago, Illinois",1.02,2.8,42.325578,-87.8411818
3,ABBV,AbbVie,Health Care,"North Chicago, Illinois",2.22,5.39,42.325578,-87.8411818
4,ACN,Accenture,Information Technology,"Dublin, Ireland",2.2,2.29,53.3498053,-6.2603097
5,ATVI,Activision Blizzard,Communication Services,"Santa Monica, California",0.26,0.85,34.0194543,-118.4911912
6,ADM,ADM,Consumer Staples,"Chicago, Illinois",1.18,3.89,41.8781136,-87.6297982
7,ADP,ADP,Industrials,"Roseland, New Jersey",2.12,2.84,40.8206555,-74.2937594
8,AAP,Advance Auto Parts,Consumer Discretionary,"Raleigh, North Carolina",0.24,0.17,35.7795897,-78.6381787
9,AES,AES Corporation,Utilities,"Arlington, Virginia",0.43,5.06,38.8816208,-77.09098089999999
10,AFL,Aflac,Financials,"Columbus, Georgia",1.64,6.03,32.4609764,-84.9877094
11,A,Agilent Technologies,Health Care,"Santa Clara, California",0.46,1.13,37.3541079,-121.9552356
12,APD,Air Products and Chemicals,Materials,"Allentown, Pennsylvania",2.53,2.17,40.6022939,-75.4714098
13,ALK,Alaska Air Group,Industrials,"SeaTac, Washington",1.02,1.59,47.4435903,-122.2960726
14,ALB,Albemarle Corporation,Materials,"Charlotte, North Carolina",1.2,2.09,35.2270869,-80.8431267
15,ARE,Alexandria Real Estate Equities,Real Estate,"Pasadena, California",3.17,3.97,34.1477849,-118.1445155
16,ALLE,Allegion,Industrials,"New York City, New York",0.46,0.76,40.7127753,-74.0059728
17,LNT,Alliant Energy,Utilities,"Madison, Wisconsin",2.02,7.75,43.0721661,-89.4007501
18,ALL,Allstate,Financials,"Glenview, Illinois",1.29,2.3,42.0778065,-87.8223368
19,MO,Altria,Consumer Staples,"Richmond, Virginia",2.3,5.88,37.5407246,-77.4360481
20,AEE,Ameren,Utilities,"St. Louis, Missouri",2.12,5.53,38.6270025,-90.19940419999999
21,AAL,American Airlines Group,Industrials,"Fort Worth, Texas",0.4,1.13,32.7554883,-97.3307658
22,AEP,American Electric Power,Utilities,"Columbus, Ohio",2.24,4.69,39.9611755,-82.99879419999999
23,AXP,American Express,Financials,"New York City, New York",1.16,2.0,40.7127753,-74.0059728
24,AIG,American International Group,Financials,"New York City, New York",1.24,2.63,40.7127753,-74.0059728
25,AMT,American Tower,Real Estate,"Boston, Massachusetts",2.08,2.31,42.3600825,-71.0588801
26,AWK,American Water Works,Utilities,"Camden, New Jersey",1.43,2.39,39.9259463,-75.1196199
27,AMP,Ameriprise Financial,Financials,"Minneapolis, Minnesota",2.84,3.57,44.977753,-93.2650108
28,ABC,AmerisourceBergen,Health Care,"Conshohocken, Pennsylvania",1.36,1.78,40.0792766,-75.3015714
29,AME,Ametek,Industrials,"Berwyn, Pennsylvania",0.36,0.76,40.045824,-75.4395931
30,AMGN,Amgen,Health Care,"Thousand Oaks, California",3.79,3.03,34.1705609,-118.8375937
31,APH,Amphenol,Information Technology,"Wallingford, Connecticut",0.56,2.11,41.4570108,-72.8230736
32,ADI,Analog Devices,Information Technology,"Wilmington, Massachusetts",1.66,3.3,42.5481714,-71.1724467
33,AON,Aon,Financials,"London, UK",1.26,1.38,51.5072178,-0.1275862
34,APA,APA Corporation,Energy,"Houston, Texas",1.0,2.53,29.7604267,-95.3698028
35,AAPL,Apple Inc.,Information Technology,"Cupertino, California",2.18,9.21,37.3229978,-122.0321823
36,AMAT,Applied Materials,Information Technology,"Santa Clara, California",0.4,2.03,37.3541079,-121.9552356
37,APTV,Aptiv,Consumer Discretionary,"Dublin, Ireland",1.12,2.06,53.3498053,-6.2603097
38,AJG,Arthur J. Gallagher & Co.,Financials,"Rolling Meadows, Illinois",1.51,3.85,42.0841936,-88.0131275
39,AIZ,Assurant,Financials,"New York City, New York",2.0,2.82,40.7127753,-74.0059728
40,T,AT&T,Communication Services,"Dallas, Texas",1.91,10.76,32.7766642,-96.79698789999999
41,ATO,Atmos Energy,Utilities,"Dallas, Texas",1.68,2.84,32.7766642,-96.79698789999999
42,AVB,AvalonBay Communities,Real Estate,"Arlington, Virginia",5.3,3.66,38.8816208,-77.09098089999999
43,AVY,Avery Dennison,Materials,"Glendale, California",1.56,2.51,34.1425078,-118.255075
44,BALL,Ball Corporation,Materials,"Broomfield, Colorado",0.52,1.55,39.9205411,-105.0866504
45,BAC,Bank of America,Financials,"Charlotte, North Carolina",0.23,1.69,35.2270869,-80.8431267
46,BBWI,"Bath & Body Works, Inc.",Consumer Discretionary,"Columbus, Ohio",4.3,8.56,39.9611755,-82.99879419999999
47,BAX,Baxter International,Health Care,"Deerfield, Illinois",0.49,1.29,42.1711365,-87.8445119
48,BDX,Becton Dickinson,Health Care,"Franklin Lakes, New Jersey",2.64,1.85,41.0167639,-74.2057011
49,WRB,Berkley,Financials,"Greenwich, Connecticut",1.0,4.68,41.0262417,-73.6281964
50,BBY,Best Buy,Consumer Discretionary,"Richfield, Minnesota",1.52,5.93,44.8832982,-93.28300209999999
51,TECH,Bio-Techne,Health Care,"Minneapolis, Minnesota",1.28,5.66,44.977753,-93.2650108
52,BLK,BlackRock,Financials,"New York City, New York",9.05,3.07,40.7127753,-74.0059728
53,BK,BNY Mellon,Financials,"New York City, New York",0.7,2.14,40.7127753,-74.0059728
54,BA,Boeing,Industrials,"Chicago, Illinois",4.18,3.52,41.8781136,-87.6297982
55,BWA,BorgWarner,Consumer Discretionary,"Auburn Hills, Michigan",0.52,1.86,42.6875323,-83.2341028
56,BXP,Boston Properties,Real Estate,"Boston, Massachusetts",3.85,3.82,42.3600825,-71.0588801
57,BMY,Bristol Myers Squibb,Health Care,"New York City, New York",1.14,2.07,40.7127753,-74.0059728
58,AVGO,Broadcom Inc.,Information Technology,"San Jose, California",1.94,1.55,37.33874,-121.8852525
59,BR,Broadridge Financial Solutions,Industrials,"Lake Success, New York",1.23,2.33,40.7698453,-73.70904279999999
60,BRO,Brown & Brown,Financials,"Daytona Beach, Florida",0.49,3.13,29.2108147,-81.0228331
61,BG,Bunge Limited,Consumer Staples,"Chesterfield, Missouri",1.56,3.2,38.6631083,-90.5770675
62,CHRW,C.H. Robinson,Industrials,"Eden Prairie, Minnesota",1.72,2.95,44.8546856,-93.47078599999999
63,CPT,Camden Property Trust,Real Estate,"Houston, Texas",7.2,11.02,29.7604267,-95.3698028
64,CPB,Campbell Soup Company,Consumer Staples,"Camden, New Jersey",1.25,2.72,39.9259463,-75.1196199
65,COF,Capital One,Financials,"Tysons Corner, Virginia",1.6,2.69,38.9187222,-77.2310925
66,CAH,Cardinal Health,Health Care,"Dublin, Ohio",1.67,2.61,40.0992294,-83.1140771
67,CCL,Carnival,Consumer Discretionary,"Miami, Florida",1.3,3.06,25.7616798,-80.1917902
68,CAT,Caterpillar Inc.,Industrials,"Irving, Texas",3.08,5.23,32.8140177,-96.9488945
69,CBOE,Cboe Global Markets,Financials,"Chicago, Illinois",0.94,1.57,41.8781136,-87.6297982
70,CDW,CDW,Information Technology,"Lincolnshire, Illinois",0.43,1.1,42.1900249,-87.9084039
71,CE,Celanese,Materials,"Irving, Texas",1.32,2.36,32.8140177,-96.9488945
72,CNP,CenterPoint Energy,Utilities,"Houston, Texas",1.02,6.67,29.7604267,-95.3698028
73,CF,CF Industries,Materials,"Deerfield, Illinois",1.2,5.04,42.1711365,-87.8445119
74,SCHW,Charles Schwab Corporation,Financials,"Westlake, Texas",0.26,1.03,32.991235,-97.19501380000001
75,CVX,Chevron Corporation,Energy,"San Ramon, California",4.28,6.15,37.7643595,-121.9539616
76,CB,Chubb Limited,Financials,"Zurich, Switzerland",3.29,3.14,47.3768866,8.541694
77,CHD,Church & Dwight,Consumer Staples,"Ewing, New Jersey",1.4,3.39,40.2599864,-74.79091249999999
78,CI,Cigna,Health Care,"Bloomfield, Connecticut",0.04,0.03,41.826488,-72.73009449999999
79,CINF,Cincinnati Financial,Financials,"Fairfield, Ohio",2.36,4.38,39.3454673,-84.5603187
